Status,Name,Adv,Date,Key,Contents
Hurricane,Jeanne,18,1998-09-26T03:00:00Z,NA,NA
Hurricane,Jeanne,19,1998-09-26T09:00:00Z,NA,NA
Hurricane,Jeanne,20,1998-09-26T15:00:00Z,NA,NA
Hurricane,Jeanne,21,1998-09-26T21:00:00Z,NA,NA
Hurricane,Jeanne,22,1998-09-27T03:00:00Z,NA,NA
Hurricane,Jeanne,23,1998-09-27T09:00:00Z,NA,NA
Hurricane,Jeanne,24,1998-09-27T15:00:00Z,NA,NA
Hurricane,Jeanne,25,1998-09-27T21:00:00Z,NA,NA
Hurricane,Jeanne,26,1998-09-28T03:00:00Z,NA,NA
Hurricane,Jeanne,27,1998-09-28T09:00:00Z,NA,NA
Hurricane,Jeanne,28,1998-09-28T15:00:00Z,NA,NA
Hurricane,Jeanne,29,1998-09-28T21:00:00Z,NA,NA
Hurricane,Jeanne,30,1998-09-29T03:00:00Z,NA,NA
Hurricane,Jeanne,31,1998-09-29T09:00:00Z,NA,NA
Hurricane,Jeanne,32,1998-09-29T15:00:00Z,NA,NA
Tropical Storm,Jeanne,33,1998-09-29T21:00:00Z,NA,NA
Tropical Storm,Jeanne,34,1998-09-30T03:00:00Z,NA,NA
Tropical Storm,Jeanne,35,1998-09-30T09:00:00Z,NA,NA
Tropical Storm,Jeanne,36,1998-09-30T15:00:00Z,NA,NA
Tropical Depression,Jeanne,37,1998-09-30T21:00:00Z,NA,NA
Tropical Depression,Jeanne,38,1998-10-01T03:00:00Z,NA,NA
Tropical Depression,Eleven,1,1998-09-23T21:00:00Z,NA,NA
Tropical Storm,Karl,2,1998-09-24T03:00:00Z,NA,NA
Tropical Storm,Karl,3,1998-09-24T09:00:00Z,NA,NA
Tropical Storm,Karl,4,1998-09-24T15:00:00Z,NA,NA
Tropical Storm,Karl,5,1998-09-24T21:00:00Z,NA,NA
Tropical Storm,Karl,6,1998-09-25T03:00:00Z,NA,NA
Tropical Storm,Karl,7,1998-09-25T09:00:00Z,NA,NA
Hurricane,Karl,8,1998-09-25T15:00:00Z,NA,NA
Hurricane,Karl,9,1998-09-25T21:00:00Z,NA,NA
Hurricane,Karl,10,1998-09-26T03:00:00Z,NA,NA
Hurricane,Karl,11,1998-09-26T09:00:00Z,NA,NA
Hurricane,Karl,12,1998-09-26T15:00:00Z,NA,NA
Hurricane,Karl,13,1998-09-26T21:00:00Z,NA,NA
Hurricane,Karl,14,1998-09-27T03:00:00Z,NA,NA
Hurricane,Karl,15,1998-09-27T09:00:00Z,NA,NA
