Key,Name,Wind,StartDate,EndDate
AL162004,Otto,45,2004-11-30T21:00:00Z,2004-12-02T15:00:00Z
AL162005,Ophelia,75,2005-09-06T15:00:00Z,2005-09-18T03:00:00Z
AL162007,Noel,70,2007-10-28T03:00:00Z,2007-11-02T21:00:00Z
AL162008,Sixteen,30,2008-10-14T15:00:00Z,2008-10-16T03:00:00Z
AL162010,Nicole,35,2010-09-28T15:00:00Z,2010-09-29T21:00:00Z
AL162011,Ophelia,120,2011-09-21T03:00:00Z,2011-10-03T15:00:00Z
AL162012,Patty,40,2012-10-11T15:00:00Z,2012-10-13T15:00:00Z
AL162016,Otto,95,2016-11-21T09:00:00Z,2016-11-25T03:00:00Z
AL172000,Michael,85,2000-10-17T03:00:00Z,2000-10-20T00:30:00Z
AL172001,Olga,80,2001-11-24T21:00:00Z,2001-12-04T21:00:00Z
AL172003,Larry,50,2003-10-02T00:00:00Z,2003-10-06T09:00:00Z
AL172005,Philippe,70,2005-09-17T15:00:00Z,2005-09-24T03:00:00Z
AL172007,Olga,50,2007-12-11T03:00:00Z,2007-12-13T03:00:00Z
AL172008,Paloma,125,2008-11-05T21:00:00Z,2008-11-10T03:00:00Z
AL172010,Otto,75,2010-10-06T09:00:00Z,2010-10-10T15:00:00Z
AL172011,Philippe,80,2011-09-24T09:00:00Z,2011-10-09T03:00:00Z
AL172012,Rafael,80,2012-10-12T23:30:00Z,2012-10-17T21:00:00Z
AL182000,Nadine,50,2000-10-19T21:00:00Z,2000-10-22T03:00:00Z
AL182003,Mindy,40,2003-10-10T21:00:00Z,2003-10-14T03:00:00Z
AL182005,Rita,150,2005-09-18T03:00:00Z,2005-09-25T03:00:00Z
AL182010,Paula,85,2010-10-11T21:00:00Z,2010-10-15T15:00:00Z
AL182011,Rina,95,2011-10-23T21:00:00Z,2011-10-28T21:00:00Z
AL182012,Sandy,90,2012-10-22T15:00:00Z,2012-10-30T03:00:00Z
AL192003,Nicholas,60,2003-10-13T21:00:00Z,2003-10-23T21:00:00Z
AL192005,Nineteen,30,2005-09-30T21:00:00Z,2005-10-02T15:00:00Z
AL192010,Richard,80,2010-10-21T03:00:00Z,2010-10-26T15:00:00Z
AL192011,Sean,55,2011-11-08T09:00:00Z,2011-11-12T03:00:00Z
AL192012,Tony,45,2012-10-22T21:00:00Z,2012-10-25T21:00:00Z
AL202003,Odette,55,2003-12-04T15:00:00Z,2003-12-07T15:00:00Z
AL202005,Stan,70,2005-10-01T15:00:00Z,2005-10-05T09:00:00Z
AL202010,Shary,65,2010-10-29T03:00:00Z,2010-10-30T21:00:00Z
AL212003,Peter,60,2003-12-09T15:00:00Z,2003-12-11T03:00:00Z
AL212005,Tammy,45,2005-10-05T11:30:00Z,2005-10-06T15:00:00Z
AL212010,Tomas,85,2010-10-29T21:00:00Z,2010-11-07T21:00:00Z
AL222005,Twenty-Two,30,2005-10-08T15:00:00Z,2005-10-09T03:00:00Z
AL232005,Vince,65,2005-10-09T15:00:00Z,2005-10-11T09:00:00Z
AL242005,Wilma,150,2005-10-15T21:00:00Z,2005-10-25T21:00:00Z
AL252005,Alpha,45,2005-10-22T15:00:00Z,2005-10-24T21:00:00Z
AL262005,Beta,100,2005-10-27T03:00:00Z,2005-10-31T03:00:00Z
AL272005,Gamma,40,2005-11-14T03:00:00Z,2005-11-21T03:00:00Z
AL282005,Delta,60,2005-11-23T21:00:00Z,2005-11-28T15:00:00Z
AL292005,Epsilon,75,2005-11-29T15:00:00Z,2005-12-08T15:00:00Z
AL302005,Zeta,55,2005-12-30T17:00:00Z,2006-01-06T21:00:00Z
EP011998,Agatha,55,1998-06-11T15:00:00Z,1998-06-16T21:00:00Z
EP011999,Adrian,85,1999-06-18T09:00:00Z,1999-06-22T21:00:00Z
EP012000,Aletta,90,2000-05-22T15:00:00Z,2000-05-28T03:00:00Z
EP012001,Adolph,125,2001-05-25T21:00:00Z,2001-06-02T03:00:00Z
EP012002,Alma,95,2002-05-24T21:00:00Z,2002-06-01T15:00:00Z
EP012003,Andres,40,2003-05-20T03:00:00Z,2003-05-26T03:00:00Z
EP012004,Agatha,45,2004-05-22T03:00:00Z,2004-05-25T03:00:00Z
EP012005,Adrian,75,2005-05-17T21:00:00Z,2005-05-20T15:00:00Z
EP012006,Aletta,40,2006-05-27T10:00:00Z,2006-05-30T21:00:00Z
EP012007,Alvin,35,2007-05-27T03:00:00Z,2007-05-31T21:00:00Z
EP012008,Alma,55,2008-05-29T03:00:00Z,2008-05-30T15:00:00Z
EP012009,One-E,NA,2009-06-18T15:00:00Z,2009-06-20T00:00:00Z
EP012010,Agatha,40,2010-05-29T12:00:00Z,2010-05-30T09:00:00Z
EP012011,Adrian,120,2011-06-07T15:00:00Z,2011-06-12T15:00:00Z
EP012012,Aletta,40,2012-05-14T15:00:00Z,2012-05-19T15:00:00Z
EP012013,Alvin,45,2013-05-15T15:00:00Z,2013-05-17T09:00:00Z
EP012014,Amanda,135,2014-05-22T21:00:00Z,2014-05-29T21:00:00Z
EP012015,Andres,125,2015-05-28T09:00:00Z,2015-06-04T21:00:00Z
EP012016,One-E,30,2016-06-06T21:00:00Z,2016-06-08T15:00:00Z
EP012017,Adrian,40,2017-05-09T21:00:00Z,2017-05-11T15:00:00Z
